id,Title,label
212,은행장 임기 줄줄이 만료…누가 연임될까,-1
1216,"권선주 기업은행장, 수능 앞둔 수험생에 격려편지",0
1461,서민 전세금 품어주는 HUG,1
788,"기업은행, 소방관 복지증진 위한 심신안정실 설치",1
1815,[2015 국감]3년간 은행·카드사 신분증 사본 5억여건 수집,0
843,"[2017국감]박선숙 의원 ""기업은행, 영화 '인천상륙작전' 투자검토 부실""",-1
1406,[구조조정案 확정]한은 발권력에 기댄 구조조정…책임 문제엔 선그어(종합),-1
314,"""외상담보매출채권 금리 1%P 인하 길 열린다""",1
571,"제3 인터넷銀, 엇갈린 반응",-1
1498,"산은, 올해 비금융자회사 매각 46개로 확대",1
657,"금감원·한은, 은행권 기업대출 '현미경 조사'",-1
569,"KB금융, 10월부터 '주52시간' 조기 시행 추진",0
132,"기업은행, 중소벤처기업부와 중기 규제혁신 대상 개최",1
70,"서울시, 코리아세븐 등과 '산골마을' 에너지복지 지원",1
1846,국민銀 주춤하는 사이 신한·우리銀 시장점유율 증가,1
483,"IBK기업은행, W소확행통장 출시",1
1060,기업은행 이마트 지분 전량 블록딜 성공,1
1500,"IBK기업은행, ‘i-ONE소상공인보증부대출’ 출시",1
487,"IBK기업은행, 스마일페이 결제 프로모션",1
863,금융권 최고 인기 '한국은행' 올해 공채 경쟁률은?,0
1140,"금융위, 차기 기업은행장에 김도진 단독 제청 유력(종합)",0
1122,산업은행 내년 업무추진비 14.6% 삭감,-1
1748,"기업은행, 장애인 신입행원 특별채용",1
1495,내주 출시 일임형ISA 전산개발 돌발변수…예수금 계좌 논란,-1
1000,"IBK기업銀, 1분기 손익 4377억…전년比 15.9%↑",1
1347,[인사]IBK기업은행,0
44,[포토]서울아시아금융포럼 개막,0
58,"[개성공단 전면중단]정부, 입주기업에 대출상환·세금 유예",-1
613,"은행연합회, 인도은행협회와 MOU 체결",1
1750,은행 해외점포 성장세 둔화,-1
630,"기업은행, 중기 근로자 가족에 치료비 7억 전달",0
811,"[포항 지진]기업銀, 피해복구 성금·생필품·밥차 지원",1
1507,신성장 산업 지원 위해 정책금융기관 뭉친다,1
1251,"[금융노조 총파업]김문호 위원장 ""성과연봉제 반드시 저지""…2,3차 연쇄파업 예고(종합)",-1
699,공공기관 합동채용 실시…코레일 17일·마사회 31일,0
1572,"IBK기업銀, 'i-ONE뱅크' 고객 갤럭시기어S2 경품 이벤트",0
1234,"금융위, 한진해운 협력업체 등에 680억 금융 지원",1
1470,"기업은행, ‘IBK변동금리예금&중금채’ 판매",1
1561,유암코 1호 ‘오리엔탈정공’ 구조조정 속도…26일까지 동의받는다,-1
732,"""밤새 악몽"" 840만→ 670만원 코인 대폭락 '공포의 2월'(종합)",-1
1535,"IBK기업은행, 코빗과 블록체인 상호협력 MOU 맺어",1
298,"기업은행, IBK스마트 여신약정 서비스 시행",1
963,"IBK기업은행, 1000억 규모 '글로벌 강소기업 육성펀드' 조성",1
1368,"[금융안정보고서]코코본드 발행 잔액 12조원 넘어…""리스크 증대 유의해야""",-1
1017,"석유공사·강원랜드 등 18개 공공기관, 고객만족도 '낙제점'",-1
225,"기업은행, 'IBK 중소기업 경영 아카데미' 참가자 모집",1
1749,보금자리론 6개월만에 0.15%p 인하…11월 최저금리 연 3%,1
478,"기은, ‘동반자 금융’ 드라이브…‘맛·멋·흥’ 지도 주목",1
457,"기업은행, 'IBK W특판예금' 판매...최고 연 2.28% 금리",1
1840,기업·농협은행 추석특별자금 3조원씩 공급,1
1333,"""위기 대비 달러 쌓아라"" 은행 외화LCR규제 의무화",1
1074,충무로에 부는 대체투자 열풍,0
417,"김도진 기업은행장 ""고객중심 혁신 통해 초우량은행으로 발돋음하자""",1
1802,미리보는 산업은행 국감…'대우조선' 책임론 도마위,-1
209,은성수號 금융위 출범…금융기관장 '도미노 인사' 급물살,-1
1449,"구조조정 실탄으로 떠오른 '자본확충펀드', 쟁점은?",0
41,[구조조정案 확정]정부·한은 국책은행 12조 출자,-1
1615,기업 투자정보 마당 출범…연 3만건 투자기관에 지원,1
1820,"권선주 IBK기업은행장 ""핀테크의 파도를 타야한다""",1
810,"IBK기업은행, 印尼 교육환경 개선 후원금 3억원 전달",1
174,"기업은행, SKT와 '5G·빅데이터' 등 혁신 금융서비스 업무협약",1
1468,"이주열 ""구조조정 과정서 금융시장 불안해지면 적극 대응""",0
302,"신보 옛 사옥, 스타트업 전진기지 '프런트원'으로 탈바꿈",1
680,"IBK기업은행, 프놈펜 지점 설립 예비인가 취득",1
750,"최종구 ""소상공인 카드수수료 인하할 것""",1
372,"기업은행, 제로페이·BC카드 가맹점 우대...성공의 법칙 통장 출시",1
1250,여당 낙천자 기보 비상임이사 임명…여당 '낙하산' 수두룩,-1
1121,"허창수,""전경련 회장직 연임안해…개선안 마련·후임 물색""",0
1075,반려동물 가구 1000만 시대...'펫팸족' 위한 금융상품은?,1
60,이란 SOC 투자 수주 불투명…원화 대체결제 '난망',-1
905,"현대엔지니어링, 동반성장펀드 실적 500억원 육박",1
345,"김도진 기업은행장, 3·1 독립선언서 필사 챌린지 동참",0
549,"[인도차이나 리포트]""베트남 진출 中企 지원 발로 뛸 것""",1
1471,상속분쟁 막는 '유언대용신탁' 뜬다,1
860,"기업은행, 수출입기업 대상 'IBK무역실무 아카데미' 개최",1
1715,"계좌이동제 일주일, 은행권 열띤 고객유치 경쟁",0
1226,"기업은행, 태풍 '차바' 피해 복구 봉사활동",0
78,[제2중동붐]서비스업 붐 일으킨다..외투유치 활성화,1
648,[2018 히트상품]지드레곤 직접 디자인…IBK기업은행 GD카드,1
532,"최종구 ""인터넷전문은행, 새 수요 있을 것""",1
161,"이주열 ""한국 생산성 향상 절실, 금융이 기업 육성해야""(종합)",1
842,"[2017국감]김성원 의원 ""기업銀 나라사랑카드, '영내 사고 미보상' 개선해야""",-1
292,"은행들, 올해 지자체·대학·병원 등에 2000억 썼다…""거래 유지""",0
385,"기업은행, 퇴직연금시스템 개편...""모바일뱅킹 거래 확대""",1
244,"금융위, 일본 대응 전담작업반 꾸린다",0
720,"""그들은 왜 코인 실명 전환을 하지 않나""...'실명제의 역설'",0
1780,"BC카드, 국민·아이행복카드 발급고객 영·유아용품 증정 행사",0
236,일본 규제 피해 기업 금융지원 나선 은행권,1
696,"IBK기업은행, 동반성공·성장카드 2종 출시",1
142,금융권 CEO 인사태풍…'윈터 이즈 커밍',1
398,"은행株, '외인 팔자'에 작년 수익률 -21%…""올해 수익성 악화""",-1
490,"IBK기업은행, 판교에 19번째 복합점포 개점",1
1647,IBK기업銀 평생주거래기업통장 출시,1
229,"기업은행, 추석 특별지원자금 3조원 지원",1
577,"은행권, 중소기업 과도한 '시설투자' 경계령",-1
429,"기업은행, 'IBK창공 구로' 2기 혁신 창업기업 모집",1
1721,"[골드에이지110조원 퇴직연금, 몰라도 너무 모른다",0
1195,"기업은행, 美화력발전소 건립 사업 '2억달러' 대출 주선",1
1053,낙하산 둥지' IBK신용정보…대표·부사장 모두 '금피아',-1
845,오늘 '神의 직장' 금융권 A매치데이,0
1398,"[금융권 성과연봉제]""노조 동의 없으면 무효""…정치권 '불똥'",-1
224,"국책·시중은행장들, 대통령 동남아 순방 동행",1
1035,"기업은행, 'IBK금융그룹 핀테크 드림랩 3기' 출범",1
1217,"기업銀, 청탁금지법 겨냥 '각자내기 카드' 출시…""더치페이 하세요""",1
1571,"IBK기업은행 ""i-ONE뱅크 사용하고 갤럭시 기어S2 받으세요""",0
1817,"[라이벌]은행앱, 입맛대로 골라먹기",-1
692,"우리銀·기업銀 컨소시엄, 서울외곽순환고속도로 북부구간 요금인하 금융 약정 체결",1
540,[소프트M]한류열풍 덕 보는 금융권의 신남방,1
658,"우리銀, 알림앱 가동 중단…군인 월급 입금 지연 사고도(종합)",-1
776,"기업은행, 환전·송금 이벤트 실시…최대 90% 환율우대",1
47,"최상목 ""이란 제재 해제로 中企 미결제대금 해소""",1
515,"이동걸 ""한국GM 법인분할, 무조건 반대 아냐""",0
1272,"기업은행, 유니온페이와 BC카드 제휴 ‘CNY 직통 송금 서비스’ 출시",1
1452,"IBK기업은행, 女배구대표팀 후원금 1억 원 전달",1
1339,"이주열 ""국내 은행, 대출자산 건전성·자본적정성 유지해야""(상보)",0
628,"기업은행·삼성SDS, 물류 경쟁력 강화 MOU",1
1224,"창조금융 아이디어 공모전, 본선 진출팀 확정",0
1589,막오른 어닝시즌 은행 4Q 순이익 1조↓ 전망…희망퇴직·충당금 부담 탓(종합),-1
1565,"이주열 총재 ""올해도 국내 은행 경영여건 어려울 것""(상보)",-1
564,신과함께2 1000만 돌파' 기업은행 투자 대박,1
265,"기업은행, 미얀마에 친환경 쿡스토브 지원",1
1672,"[인터넷은행 빅뱅①]'발등에 불' 시중은행, 비대면 서두르고 중금리 확대",-1
382,"산업·기업은행, 채용 문제로 징계 받는다",-1
948,"IBK기업은행, 가뭄 피해지역에 후원금 5000만원 전달",1
709,"""실적·한도 상관없다""…포인트 적립 카드 '인기'",1
1309,"IBK기업은행, 바이오정보기반 공인인증 서비스 시행",1
1409,[구조조정案 확정]정부·한은 국책은행 12조 출자,1
918,"김도진 기업은행장 ""中企 동반자 금융으로 일자리 10만 창출""",1
1622,은행권 '신의 한수' 찾기…성장·혁신·리스크관리,0
232,"IBK기업은행, 새 국외전산 통합시스템 오픈",1
148,국내외 691개 전지점 방문 대장정 마친 김도진 기업은행장,1
526,별들의 모임' 여금넷 다시 뜬다,1
1041,"김도진 기업은행장, '은행판 TED' 도입한다",1
489,"수자원공사, 100억 상생협력펀드 조성…물산업 中企 대출지원",1
266,"KDI국제정책대학원, 주한대사초청 ‘통일을 위한 도전과제’ 특강 개최",0
237,日 수출규제 맞설 M&A 인수 금융 협의체 이달 말 출범,1
1274,"IBK기업銀, “카드번호, 이름만 알면 송금 돼요”…위안화 송금 서비스 개시",1
45,[내수·투자 살려라]신산업으로 투자 되살린다,1
830,국책은행 '깜깜이' 임원인사 사라지나,0
932,[사고]집중호우 피해 이웃돕기 성금 모금,0
264,"기업은행, 늘푸른하늘통장·대출 출시...미세먼지 줄이면 금리우대",1
899,"정부, 중소조선사에 4년간 RG 1000억 공급한다",1
365,"기업은행, 신충식·김세직 사외이사 선임...노동이사제는 무산",-1
320,"올해 中企공동구매 전용보증 900억…""원부자재 조달원가 인하""",1
1045,IBK저축은행 신임 대표에 김성미 前부행장 선임,0
26,"칼퇴근법' 띄우는 유승민, 'PC오프제' 체험하며 현장행보",0
188,"기업은행, 행복화성 일자리박람회 개최",1
953,"[포토]기업은행, 희귀난치성 질환 中企근로자 가족에 치료비 전달",1
775,원·위안 직거래시장 조성자에 국민銀·교통銀등 12개 은행,1
215,추석에 만기? 연휴 끝나고 상환 가능…중기 특별자금 지원,1
736,"[단독]'가즈아, 인니(印尼)' 외치는 국내 은행, 수익성 확보 나선다",1
1340,"한국은행, 공개시장운영 대상기관 33개사 선정",1
1637,은행권 '신의 한수' 찾기…성장·혁신·리스크관리,0
424,"기업은행, 평택시와 '일자리창출·중기지원' 업무협약",1
968,[단독]'문재인표' 中企 활성화 반하는 금융관행 싹자른다,-1
419,"산은·기은, 3년간 산업구조 구조화 등에 15조원 금융 지원",1
587,"기업은행, 中企대출 150조 육박",1
449,2.3만명 뽑는다는 공공기관…어디서 얼마나 뽑나,0
143,"[단독]4개 은행, 모뉴엘 2700억 소송 접었다…희대의 대출사기 '미회수'",-1
1832,"국내 13개 은행 대학출점 후원금 5036억…우리은행, 1176억 가장 많아",1
1533,P2P대출 투자 '2030'이 몰린다,1
752,[인사]IBK기업은행,0
1311,"임종룡 위원장 ""연내 스타트업 장외거래시장 개설""",1
1621,"권선주 행장 ""성과주의 TF만들어 논의중…노조 합의 위해 노력할 것""",-1
1540,"NH농협銀, 민원건수 주요은행 중 가장 낮아…전년比 32.2% 감축",1
1610,우리은행 고객 민원분쟁 1위…SC은행 73% 늘어,-1
1289,"은행 퇴직연금, 상반기 1.2조 늘어…'퇴직금, 직접 굴린다'",0
1336,"한국 은행들, 영국 블록체인 업체들과 손 잡았다",1
19,"문체부, 1500억 들여 문화콘텐츠기업에 저금리 대출",1
1383,"기업은행, 'IBK고객소리단' 운영…""고객 의견 상품·서비스에 반영""",1
1459,"시중은행, '빅데이터' 활용 상품 앞다퉈 출시",1
957,"IBK기업은행, 기업 여신평가 '성장가능성' 본다",1
242,"금융당국 ""부당한 日 규제, 우리 기업 지켜내겠다""",1
349,취업하고 싶은 금융회사 1위…‘KB국민은행’,0
1806,[나는 돈이다]금융경제의 오래된 밑천 '계모임'...그 짭짤한 역사는 지금도 계속된다,0
555,"IBK기업은행, 청년재직자 내일채움공제 판매",1
64,"가스公, 대구-기업은행과 동반성장펀드 협약 체결",1
1854,금연적금 '참는 자의 즐거움',0
1253,[금융노조 총파업]창구 혼란 없었다,1
202,"김기문 회장, 기업은행 '필승코리아 펀드' 가입",1
1255,"12개 은행, 대학 기부금 3400억…""주거래은행 선정 위해""",0
327,"우리·IBK기업은행, 對이란 원화결제계좌 동결",1
1432,"기업은행, 서울시 시우회와 업무협약",1
514,"가스公, 中企 기술개발 촉진으로 동반성장 박차",1
1681,"기업은행, ‘IBK 무역실무 아카데미’ 개최",1
1410,"유암코, 기은과 중소기업 구조조정 지원 나선다",1
618,삼성전자·현대차 등 최대 규모 경제사절단 인도 방문,1
1586,"""기준금리 그대로인데…"" 마이너스통장 대출금리 높아진 까닭은",-1
404,"최종구 ""금융결제망 전면개방…이용료 10분의 1로 낮춰""",1
1560,힘 실린 기준금리 인하론에 자취 감추는 2%대 특판예금,-1
1306,"기업은행, 中企 추석특별지원자금 '7조원' 공급",1
24,"일자리위원회, 6일 33개 공공기관과 정책간담회…공공기관 적극 참여 당부",0
1076,"IBK기업은행, 'IBK나라사랑카드' 발급 고객에 경품",0
85,온실가스 배출권거래 첫날 1150t 거래…t당 8640원,1
934,금융권 육아휴직하는 '간 큰(?) 아빠들' 늘어난다,0
769,"기업은행, 영업점장 대출 금리 감면권 확대",0
1827,"모임통장, 회비관리 '척척'…총무가 따로없네",0
793,"유니온페이, 겨울 여행객 위한 할인 이벤트 진행",0
68,"[2015 국감]이운룡 ""신보 채용사업, 구조조정 검토 필요""",-1
767,"[가계부채 옥죄기 그늘]6대 은행, 가계부채 증가율 줄었지만…",-1
